position_id,market_id,question,entry_timestamp,entry_price,side,size,entry_ev,entry_z,current_ev,current_z,peak_ev,regime,exit_timestamp,exit_price,exit_reason,exit_rule,pnl,pnl_pct,hold_time_days
BT_516706_2025-10-24 16:50:03.383910,516706,Fed rate hike in 2025?,2025-10-24 16:50:03.383910,0.5272354725734939,YES,272.354725734939,0.054470945146987804,0.544709451469878,0.054470945146987804,0.544709451469878,0.054470945146987804,information,2025-10-24 16:50:03.383910,0.5,Z-reversion (0.54 < 0.80),z_reversion,-14.069064106799821,-0.05165713232562784,0.0
BT_516719_2025-10-24 16:50:28.035476,516719,Russia x Ukraine ceasefire in 2025?,2025-10-24 16:50:28.035476,0.5786331302083279,YES,785.2250075334592,0.1572662604166557,1.572662604166557,0.1572662604166557,1.572662604166557,0.1572662604166557,information,2025-10-24 16:50:28.035476,0.5,Stop loss (-13.6%),stop_loss,-106.70785517929728,-0.13589462148497652,0.0
BT_516730_2025-10-24 16:50:53.838883,516730,Will 7 Fed rate cuts happen in 2025?,2025-10-24 16:50:53.838883,0.5824004521698894,YES,814.052448938034,0.1648009043397789,1.648009043397789,0.1648009043397789,1.648009043397789,0.1648009043397789,information,2025-10-24 16:50:53.838883,0.5,Stop loss (-14.1%),stop_loss,-115.17554567923436,-0.14148418302713264,0.0
BT_516706_2025-10-24 16:52:17.448304,516706,Fed rate hike in 2025?,2025-10-24 16:52:17.448304,0.5774677523083982,YES,756.3988159714918,0.1549355046167964,1.549355046167964,0.1549355046167964,1.549355046167964,0.1549355046167964,information,2025-10-24 16:52:17.448304,0.5,Stop loss (-13.4%),stop_loss,-101.4714949671364,-0.13415078504163178,0.0
BT_516712_2025-10-24 16:52:25.956191,516712,Tether insolvent in 2025?,2025-10-24 16:52:25.956191,0.5539156174825346,YES,520.963753672185,0.10783123496506919,1.078312349650692,0.10783123496506919,1.078312349650692,0.10783123496506919,information,2025-10-24 16:52:25.956191,0.5,Stop loss (-9.7%),stop_loss,-50.708233490348455,-0.09733543482231677,0.0
BT_516713_2025-10-24 16:52:28.687427,516713,USDT depeg in 2025?,2025-10-24 16:52:28.687427,0.5443381309072051,YES,426.1722530707693,0.08867626181441013,0.8867626181441013,0.08867626181441013,0.8867626181441013,0.08867626181441013,information,2025-10-24 16:52:28.687427,0.5,Stop loss (-8.1%),stop_loss,-34.713131549646114,-0.081453288663262,0.0
BT_516717_2025-10-24 16:52:39.819596,516717,Nuclear weapon detonation in 2025?,2025-10-24 16:52:39.819596,0.5925066699967351,YES,885.950687030461,0.18501333999347014,1.8501333999347014,0.18501333999347014,1.8501333999347014,0.18501333999347014,information,2025-10-24 16:52:39.819596,0.5,Stop loss (-15.6%),stop_loss,-138.3213928021421,-0.15612764325040396,0.0
BT_516728_2025-10-24 16:53:02.715127,516728,Will 5 Fed rate cuts happen in 2025?,2025-10-24 16:53:02.715127,0.5969302702534771,YES,914.9086609236223,0.19386054050695423,1.9386054050695423,0.19386054050695423,1.9386054050695423,0.19386054050695423,information,2025-10-24 16:53:02.715127,0.5,Stop loss (-16.2%),stop_loss,-148.56399177564907,-0.1623812278983895,0.0
BT_516729_2025-10-24 16:53:05.463444,516729,Will 8+ Fed rate cuts happen in 2025?,2025-10-24 16:53:05.463444,0.5320265837791638,YES,297.5355877615814,0.06405316755832757,0.6405316755832757,0.06405316755832757,0.6405316755832757,0.06405316755832757,information,2025-10-24 16:53:05.463444,0.5,Z-reversion (0.64 < 0.80),z_reversion,-17.910850170382442,-0.06019733741811957,0.0
BT_516711_2025-10-24 16:54:37.184252,516711,Fed emergency rate cut in 2025?,2025-10-24 16:54:37.184252,0.5526385024417964,YES,488.08306239985643,0.1052770048835927,1.052770048835927,0.1052770048835927,1.052770048835927,0.1052770048835927,information,2025-10-24 16:54:37.184252,0.5,Stop loss (-9.5%),stop_loss,-46.48963356410396,-0.0952494301595286,0.0
